EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,Coef_Var_PE,Coef_Var_LNE,Var_Prop_PE,Var_Prop_LNE,Autocorr_PE,Autocorr_LNE,Razon_LNE_PE,PE,LNE,TC_LNE_2019,NUM_SECC_RUR,Area_Km2,Densidad_LNE
20,OAXACA,404,SANTA MARIA CHILCHOTLA,0.02298680631448568,0.031085950477460683,0.027844585894795396,0.03729306421191697,0.938949053457906,0.9228330714633455,0.9837800059804451,14796.0,14704.0,0.08733269244990018,16,328.60762416800003,44.746375064269984
20,OAXACA,461,SANTIAGO COMALTEPEC,0.009487537165530666,0.008661517471441678,0.011725118077762657,0.010731371179407841,0.9269776249134438,0.700823736329799,0.9907747251757999,982.0,968.0,0.02433862433862434,1,156.041036929,6.203496330522645
20,OAXACA,44,LOMA BONITA,0.009522131588833888,0.011188981527143108,0.011310589880590374,0.013183000176190333,0.9853316657036931,0.9795361800716377,0.990439623841345,29261.0,28918.0,0.0345222337495081,8,48.429778043999995,597.1119663965231
20,OAXACA,450,SANTA MARIA ZOQUITLAN,0.01868920077116174,0.02578773193488184,0.022268991984206885,0.030940351867096844,0.9720898099144764,0.9637349686118596,0.9803849669615002,2531.0,2495.0,0.07821953327571306,2,127.933240794,19.502359078181144
20,OAXACA,235,SAN LUIS AMATLAN,0.021115911445611105,0.02361908606616743,0.02493638338203272,0.027603048354496347,0.9547121339640178,0.9868477053462186,0.9885425226725075,2808.0,2770.0,0.08076472883339836,3,193.71492870499998,14.299362566001882
20,OAXACA,314,SAN PEDRO MARTIR QUIECHAPA,0.009761121274704932,0.028932485438873813,0.011471667381751255,0.03160424413664289,0.9125949068888476,0.7470472526755392,0.9570879602433225,524.0,516.0,0.07053941908713693,0,2.5292571390000003,204.01247150537347
20,OAXACA,322,SAN PEDRO POCHUTLA,0.018557675629799354,0.022623906040552907,0.02219310629140427,0.027260767514210874,0.9879708469924231,0.993909006653783,0.9832490120094948,34300.0,33902.0,0.07618563900704717,7,287.940730095,117.73950836623477
20,OAXACA,70,PLUMA HIDALGO,0.020668051908890827,0.02479625459629214,0.02462232186965464,0.029498489895742455,0.933587442938231,0.9265724584745186,0.9856594170127798,2417.0,2401.0,0.0614500442086649,4,66.98184536000001,35.845533772555946
20,OAXACA,291,SAN PABLO ETLA,0.018156403205076124,0.018749149604159073,0.02227218907676525,0.022720574422358027,0.9952320947185138,0.984823041639846,0.9888614313853679,10693.0,10529.0,0.05659809332664325,0,16.186523532,650.4793928841274
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,0.012852765348934255,0.014978769504869965,0.014908047584675566,0.017228742794459146,0.996621455449735,0.9753923707490489,0.99200711124357,31928.0,31610.0,0.04385443497787465,19,91.341589313,346.063608458597
20,OAXACA,358,SANTA ANA TLAPACOYAN,0.0069169929518820335,0.009340365727555866,0.008119572321856078,0.010795596686129838,0.9147463715510263,0.7326819598323991,0.9902210408132243,1673.0,1661.0,0.022153846153846152,1,6.24711126,265.8828906466443
20,OAXACA,522,SANTO DOMINGO XAGACIA,0.040142123448665114,0.03688598482622492,0.04575043918136444,0.0425866285187098,0.8723701730098837,0.7665646384641335,0.9702185669128567,779.0,758.0,0.08908045977011494,0,0.335390297,2260.053456465975
20,OAXACA,185,SAN JUAN CHICOMEZUCHIL,0.0205576358594379,0.023612933569113405,0.01978988191793163,0.02613718939579421,0.7501298056901236,0.8946679521927956,0.9912922740792421,239.0,239.0,0.06696428571428571,0,0.360490436,662.9856887520866
20,OAXACA,297,SAN PABLO YAGANIZA,0.018743470744799706,0.019431556443434687,0.02171477044194788,0.02266434620605591,0.9104660302166605,0.8825346370765484,0.9725647458132105,786.0,765.0,0.050824175824175824,0,0.522030652,1465.4311908106117
20,OAXACA,60,MIXISTLAN DE LA REFORMA,0.03198363191534012,0.03153692247123402,0.037321724025812644,0.03767575755662907,0.9224413496355486,0.9605875452602204,0.9855336684453301,1773.0,1750.0,0.09649122807017543,1,0.56725678,3085.0226241456294
20,OAXACA,485,SANTIAGO SUCHILQUITONGO,0.024020672198591494,0.028871373585929793,0.027995383344756423,0.033870492179463155,0.9815739897610791,0.9481852035316438,0.9828402512968424,7632.0,7544.0,0.08891454965357967,2,6.103201201,1236.072636563895
20,OAXACA,557,UNION HIDALGO,0.015517651044818014,0.016628212056138795,0.018676403484769618,0.02006809798594011,0.9726242100750597,0.9721990407661637,0.9850428294521426,11054.0,10921.0,0.057928896638574055,0,7.036022237000001,1552.155412836851
20,OAXACA,401,SANTA MARIA CAMOTLAN,0.012628228422981697,0.014941363231006324,0.014636298361252952,0.01616779957927469,0.9489607349804151,0.960321320679667,0.9866856917983077,1359.0,1335.0,0.05200945626477541,0,3.441491934,387.913156736168
20,OAXACA,336,SAN PEDRO YANERI,0.009272416355739166,0.00839087845125945,0.011376336487786215,0.010326048849879874,0.9238773806370171,0.7881459931270136,0.9935159571186936,649.0,639.0,0.019138755980861243,0,0.326928742,1954.5543658562758
20,OAXACA,198,SAN JUAN GUELAVIA,0.019516775301282246,0.01994328279904417,0.023289972267237526,0.023520542018332955,0.9760324687092046,0.9715985725429296,0.9913133118463784,2404.0,2374.0,0.06744604316546762,0,6.956041620000001,341.2860545822898
20,OAXACA,381,SANTA CRUZ PAPALUTLA,0.031072001479588,0.0339196120493912,0.03727308386046029,0.040511227403893,0.9918178776561032,0.9897950779087141,0.9868669312690153,1570.0,1550.0,0.11190817790530846,0,5.651519136,274.2625412212707
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,0.012367576483926297,0.014562106235194121,0.014414912715684578,0.016108350234309083,0.9926200007946018,0.9890834675558949,0.9885597683734305,7227.0,7133.0,0.049279199764636655,2,34.897241784,204.40010829940152
20,OAXACA,541,TANETZE DE ZARAGOZA,0.027436248326258027,0.02874548754099671,0.03320560883145872,0.034879541671076944,0.9723882002718258,0.9335149045089652,0.9766213456701207,1187.0,1175.0,0.10121836925960637,0,0.627179248,1873.4675991703093
20,OAXACA,266,SAN MIGUEL DEL RIO,0.006699522196952928,0.009358190282812548,0.007937038217607092,0.010364261502593597,0.898380794881741,0.33478577303738394,0.9942689127684705,204.0,203.0,0.009950248756218905,0,0.8390003659999999,241.95460243696724
20,OAXACA,244,SAN MARTIN TOXPALAN,0.021276182699555654,0.02446272201205088,0.025326818269959982,0.02843175805305147,0.9942384586607261,0.9867849383142028,0.9873574075919814,2681.0,2641.0,0.07883986928104575,1,20.938162125999998,126.13332460161504
20,OAXACA,420,SANTA MARIA JALTIANGUIS,0.015704139104918923,0.018754874513625796,0.01832550702746921,0.022126284962869468,0.9277963315482546,0.932822958376189,0.9792945939877806,442.0,436.0,0.05060240963855422,0,1.671075562,260.9098055854401
20,OAXACA,230,SAN LORENZO VICTORIA,0.012038563663203139,0.0380145947251495,0.010893318238326403,0.038922636857785124,0.7945675256753655,0.8947587268053898,0.9735573265774198,766.0,761.0,0.11094890510948906,1,0.6451104780000001,1179.642907613725
20,OAXACA,195,SAN JUAN DEL RIO,0.03444616538879852,0.0397324917159932,0.039763147548188583,0.04528776500978564,0.9824975153543207,0.9800158829236428,0.9857400281495976,1071.0,1059.0,0.14362850971922247,0,0.537270656,1971.073588653239
20,OAXACA,89,SAN ANDRES IXTLAHUACA,0.015641093170199707,0.01422601934443765,0.01907486289320199,0.016955951374792538,0.9628618644647622,0.7809311561437778,0.9883901795073946,1297.0,1269.0,0.04702970297029703,0,3.5085071080000003,361.69229844410506
20,OAXACA,321,SAN PEDRO OCOTEPEC,0.020560061079840958,0.029995068344700854,0.02456940805571903,0.035575884690710234,0.8961336678013647,0.934960955329511,0.9742246666366047,1400.0,1387.0,0.09298660362490149,0,2.619342558,529.5221870708825
20,OAXACA,346,SAN SEBASTIAN TEITIPAC,0.022279122442590952,0.02639307412417402,0.027012486859440903,0.031213532319192945,0.9927539967145774,0.9807368372049878,0.9908533417106034,1682.0,1668.0,0.09305373525557012,0,6.448453765,258.66666037885443
