EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7
30,VERACRUZ,12,ALVARADO,-0.07417396615441635,1.5715500944837704,0.5215393808308526,-0.34364610762853076,0.028481610774557964,-0.19233978450891592,0.048848065581878465
30,VERACRUZ,69,FILOMENO MATA,0.24258300227614724,0.3706965270084659,-1.928030387733658,-0.08796132714047722,0.19086946801883517,0.4634935204746043,0.07397368486246043
30,VERACRUZ,70,FORTIN,0.6465468154663934,0.9417726578654599,-1.3080735209626608,0.20403619147907118,0.22300425561645706,-0.3097632444252206,-0.009387968234605802
30,VERACRUZ,71,GUTIERREZ ZAMORA,-1.035175779150928,0.8358479913021758,0.2799515389609757,-0.5064804751954514,0.6549803104303819,-0.22572002786761247,0.2152065839101156
30,VERACRUZ,72,HIDALGOTITLAN,0.26390828326931354,0.5717260028159535,-0.9347331879129744,0.09651049430440506,0.3307887026131451,0.4938947593095129,-0.0005078378609300744
30,VERACRUZ,73,HUATUSCO,0.5854379802735434,1.2610220011087259,-0.062151382458302075,-0.21974303867133244,-0.2773375036762365,-0.277480692171439,-0.00047437864946659684
30,VERACRUZ,74,HUAYACOCOTLA,1.2236519007203577,0.4009785230946295,1.0033688154503906,-0.388016977050117,-0.5457049986576707,-0.17513735823369236,-0.051588657764152876
30,VERACRUZ,75,HUEYAPAN DE OCAMPO,-0.5648922155695583,1.206873544235481,0.20046108732496484,-0.027126313862260564,0.5059428731742112,-0.023445847750063184,0.22126592395287312
30,VERACRUZ,65,CHONTLA,-1.3140836240817033,-0.04103642429166547,0.5615525266829396,-0.3910708323280728,0.0038061291860268767,-0.4346028284596329,-0.4476006012478683
30,VERACRUZ,49,COSCOMATEPEC,1.2251304654075872,1.0033895897741958,-0.38019012109443123,-0.06251305495416885,-0.5526717902342433,-0.21725402785367173,-0.11368269559892229
30,VERACRUZ,50,COSOLEACAQUE,-0.615200939325926,1.8575019516796647,-0.8214420953936908,0.06407194676889527,0.5550714071445013,-0.29276263689486226,0.1503299236652426
30,VERACRUZ,51,COTAXTLA,0.8793391506548728,0.6968481752090455,0.6817041972949757,-0.7065622970090147,-0.5090280223813285,-0.23297114738968855,-0.16289633970100006
30,VERACRUZ,52,COXQUIHUI,0.830479902097109,0.34547986190009794,-0.4104789481206405,-0.39212911139669376,-0.12756583328142707,0.13358880439600468,-0.15510669856832499
30,VERACRUZ,53,COYUTLA,0.17050860658530648,0.79682498388823,-1.1533216426166837,-0.1290410067805069,0.24902704748765708,0.33583221059891516,0.03513523355507495
30,VERACRUZ,40,COATEPEC,0.48210557833582046,1.5513751517665606,-0.8867400868435755,0.07386565775995012,-0.11508038653135008,-0.23078610086947243,-0.0011379116742821626
30,VERACRUZ,86,IXMATLAHUACAN,-0.30065097606363556,0.05926707705239753,0.8507891994306558,-1.4822693476243451,-0.3395014777299375,-0.22376233962497044,0.06750056362346578
30,VERACRUZ,87,IXTACZOQUITLAN,1.441292280275226,1.4302963442477747,-0.6013577747071936,0.3835891309452499,-0.6344719546935138,0.2477194721680879,-0.18653919109542672
30,VERACRUZ,78,ILAMATLAN,0.6530630809385085,0.3117290678546091,0.6638631792379173,-0.5857575115268235,-0.13083864174506224,0.06338327499676136,-0.13798649198538857
30,VERACRUZ,79,ISLA,0.7638319609726578,0.71292340415722,-1.2903444340234178,0.5203407582238173,0.32064256830199567,0.13345293360509122,0.13263926622686836
30,VERACRUZ,80,IXCATEPEC,0.02206986902361781,0.2237017661594321,0.47898252068448804,-1.0023538572259287,-0.0867029230340503,-0.31285327794858014,-0.08306853002218709
30,VERACRUZ,81,IXHUACAN DE LOS REYES,0.202824760452202,0.21657735038378387,-0.5243462427863336,-0.8027817934187768,0.06891698726643838,0.027442620566408383,-0.06886884158811281
30,VERACRUZ,82,IXHUATLAN DE MADERO,0.20625451201312123,1.986355729665906,1.164510405417875,-0.07457815125622815,-0.30333657482268084,0.4900711068064887,0.06512641847459338
30,VERACRUZ,83,IXHUATLAN DEL CAFE,1.0247725615559573,0.41764780123384593,-1.121023813625388,-0.09807918327338988,-0.22549294296284428,0.08743306476774372,-0.03268223547344733
30,VERACRUZ,68,ESPINAL,0.5896794989003304,0.7963665364348325,-0.4449775439498338,-0.12933443947026846,-0.10950235911006663,0.11061400370199616,0.054983422614203095
30,VERACRUZ,132,POZA RICA DE HIDALGO,0.0025416098641510964,1.5566443860475143,-1.824545243648348,0.12264244142963217,0.316727532170401,-0.859653671753119,0.10874864727599796
30,VERACRUZ,133,PUEBLO VIEJO,0.6265131661653621,0.7970415581917629,0.052665602256073196,-0.39832982778742376,-0.22627201914978975,-0.6412718962195545,-0.11590837958177916
30,VERACRUZ,134,PUENTE NACIONAL,-0.41425224165623636,0.5600051684256027,-0.037423843702103214,-0.1352222489339401,0.4609481857111616,-0.11539757501972225,0.19005996324083588
30,VERACRUZ,135,RAFAEL DELGADO,1.3814724256493744,0.2861042127107561,-1.0574590241595947,-0.49569473173123835,-0.8206911184665896,-0.12921592715517816,-0.1354086987699474
30,VERACRUZ,109,MINATITLAN,-0.26411094723012385,2.495016006549543,0.41384281534954875,0.41051033102291107,0.26143366181906524,0.07232702427783727,0.1096264165294635
30,VERACRUZ,110,MISANTLA,-0.31796707278026176,2.0846430746948705,0.3490103986054765,0.3002803627641578,0.32659032570334734,0.5406318259268015,0.17710355406563325
30,VERACRUZ,111,MIXTLA DE ALTAMIRANO,-0.4191373141235209,0.43131626678378654,-0.1290856749001128,-1.3473900612989582,-0.15573622166180762,-0.16035655658179832,0.17764243037892805
30,VERACRUZ,113,NAOLINCO,1.867285719997517,0.44108663581264335,-1.2318058587055418,0.18822243335254704,-0.5754310428452655,0.3761505907368351,-0.3660115105508897
30,VERACRUZ,146,SOCONUSCO,0.03966290033282402,0.4296798227637197,-1.3088219236321277,-0.06672499352445503,0.4509536258265897,0.46392499521510266,0.054060611302048554
30,VERACRUZ,147,SOCHIAPA,1.0321269950347303,-0.7460803323363248,-0.3503091888686902,-0.6896759827649658,-0.3939887945173579,0.2456225131650545,-0.00867973463187778
30,VERACRUZ,148,SOLEDAD ATZOMPA,1.769521436938378,0.20708076094159783,-0.018358969419329203,-0.19666995170590698,-0.9283173707025391,-0.14565231964168637,-0.04593266509603478
30,VERACRUZ,140,SALTABARRANCA,-0.19011380484478133,0.05582091537670283,-1.4505025626258612,-0.37599128820552435,0.45845344836276847,0.6456629144533613,0.11951417435905297
30,VERACRUZ,137,LAS VIGAS DE RAMIREZ,0.8398888220365409,0.39081452105807535,-0.5862827719724981,-0.5567487620603624,-0.438603660349623,-0.10842052936471665,-0.06300308481254752
30,VERACRUZ,138,LOS REYES,0.055008414864053584,-0.0121232927924863,-0.3356459362196235,-1.2803049886527769,-0.3640070615147095,0.16663536757346772,0.08236402677058244
30,VERACRUZ,181,TLALNELHUAYOCAN,0.9426247294155683,0.5570939185867695,-1.6420590858209942,-0.23934718700115878,-0.4806229407326173,0.3635190157067199,-0.047377080078326576
30,VERACRUZ,165,TEPETLAN,1.5779063075469213,-0.22313502154110387,-0.43938051179914844,-0.34872652157618905,-0.44539636805399285,0.09861655925149565,-0.33623243369098843
30,VERACRUZ,118,OMEALCA,-0.11403137004058111,1.1674447383235924,-0.5101179693389318,-0.28754787437937207,0.06173655473553678,0.44705456595998044,0.14570007086770972
30,VERACRUZ,130,PLATON SANCHEZ,0.3090470484557627,0.45065250350313785,0.4883310764086331,-0.842672740534366,-0.2864579580028928,-0.3225048845083089,0.05643947385505302
30,VERACRUZ,190,URSULO GALVAN,-0.3069560450881906,1.13559384979735,-0.9113232298190035,-0.28985402998535675,0.3331034246914076,0.11281611432498133,0.14277458837042223
30,VERACRUZ,191,VEGA DE ALATORRE,0.018090055872657763,0.8093469580684857,0.567525300184059,-0.7477164713668161,-0.07327455148856771,-0.1281011783606007,-0.02977941540151475
30,VERACRUZ,192,VERACRUZ,-0.099403691520249,2.3146668260937955,-1.727117293396354,0.5229776622794171,0.3977064938861001,-1.0489363726995138,0.11696476845254512
30,VERACRUZ,143,SAN JUAN EVANGELISTA,0.17411360563632988,1.0919383461001813,0.9451647051724725,-0.1370192926231515,0.0849072089604954,-0.007643447402376361,-0.03531072064617404
30,VERACRUZ,145,SAYULA DE ALEMAN,0.442805099249202,0.60401932827921,0.46643534999765107,-0.18050932028882635,0.1769413233258132,-0.34982668964263924,-0.0056044960490460585
30,VERACRUZ,207,EL HIGO,0.6284047869803145,0.4680328773682158,0.43389642231752373,-0.48909072932165254,-0.13729339850197084,-0.20481428799689,0.03265089959191307
30,VERACRUZ,194,XICO,1.2048658766009344,0.740460908535844,-0.4935862211202449,-0.3699995490690286,-0.7528901325134321,-0.32405350965606494,-0.09202251470695229
30,VERACRUZ,195,XOXOCOTLA,-0.22467798290398144,-0.10073522099273269,-0.36955065603610254,-1.2096966236833557,-0.07730356113495666,0.10136005587604643,-0.18031849712594333
30,VERACRUZ,196,YANGA,-0.4958578456205381,0.7972115024082026,-0.34363897368022356,-0.6024878561520234,0.43676853111624636,0.07959452277733599,0.2231472894856824
30,VERACRUZ,43,COETZALA,0.4319365623226785,-0.45602853155872164,-0.6464425838727069,-1.2647452129679462,-0.36447385011846223,0.6252919360424661,-0.13377801720775354
30,VERACRUZ,105,MECAYAPAN,-0.06858830309903619,0.49543814074365083,-1.0712836200166556,-0.07968405054431207,0.7514247245544985,0.22407673753107296,0.12928855824724172
