EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,-0.6374452098935021,-0.1054862870081766,-0.02428605716061597,-1.1292186460541918,-0.20883474921322007,0.1006263435005539,0.22091218918746328,0.02145175650659609
24,SAN LUIS POTOSI,16,EBANO,0.2975642056666796,0.7830069830056471,0.26989530532647155,-0.35968984555990446,0.14758723262399465,-0.5803959655851844,0.04840035830881563,-0.010703094711375271
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,-1.786168463108097,0.1633372999366699,1.869330485032976,-0.7952454439798042,0.3340671398142686,-0.2639405642884673,0.13911792375074233,-0.012951151952673394
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,-3.084310905559137,-0.7073480810172913,1.5137373048913758,-0.2971754032678016,0.22361516928720204,-0.2681137109563394,-0.5481142482368501,0.014956789882947397
24,SAN LUIS POTOSI,8,CERRITOS,-0.07452231674514184,0.922450927961036,1.092536902569405,-0.35520417046053254,-0.1734612299488853,-0.07781531618474086,-0.05886329066297442,-0.02027335610994214
24,SAN LUIS POTOSI,20,MATEHUALA,-0.18182313646994863,2.120956968992899,0.1881936470296382,0.394594472903331,0.05440240944445053,0.2553786843429947,0.024491829123737017,0.019871043368473285
24,SAN LUIS POTOSI,24,RIOVERDE,-0.2866451276544609,3.33102769126657,2.633743637508816,1.3165346855923055,0.10843343312549857,1.4840225203504225,-0.014987435225634444,-0.03690594916301103
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,-1.3282814125555247,0.16854890853592508,1.0619706760827112,-0.9182743540018352,0.37968208532092357,-0.35336601589007127,0.45182270585612566,0.032040856361616035
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,0.17757478330382606,3.3332496201585906,0.18967214154978917,1.4582534633431878,0.3036860992891682,-0.06886665749946207,-0.030989318962857098,-0.010256265684462315
24,SAN LUIS POTOSI,15,CHARCAS,-1.5139663274389428,0.8458871631649131,1.2853298926324013,-1.116338967659554,-0.2870297971539554,-0.5196708289393421,0.26355508703611963,0.015640393325300834
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,-0.3218157702830343,1.3080971029873403,0.5341040114401115,-0.16910661145723146,0.047259977268001865,-0.2049249727988567,0.17019229465725827,-0.011280040207580442
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,-0.9694223216256996,-0.3937715865826169,2.0424022611914565,-0.4330305267058891,0.07100299213943573,0.003021609756089515,-0.7073852174492044,0.019281610781256252
24,SAN LUIS POTOSI,1,AHUALULCO,-1.0481723062626433,0.404950326230945,1.0550557234372049,-0.44304227974606575,0.07188028376949769,-0.38223889833657465,0.030226903332691884,-0.014987450548133345
24,SAN LUIS POTOSI,43,TIERRA NUEVA,0.9539219179800927,0.20682456078876876,0.8359531199338165,-1.0000395939985085,-0.9069537637943895,-0.3980406977012671,-0.1682101965619107,-0.04056588615126273
24,SAN LUIS POTOSI,52,VILLA HIDALGO,-0.9458895328715653,0.4122126452279674,1.4788636915901312,-0.3906992011167163,0.4668922490474738,-0.18870717506647575,0.2754877476861356,-0.039374717907087
24,SAN LUIS POTOSI,38,TAMPACAN,-1.3585554928904358,0.6131102389490071,0.2977201539250035,-0.42839206313417366,0.4583111463591378,0.19572782783024859,0.1330011536900215,0.0013657163849767422
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,-0.8241288706322737,0.7731113282145435,0.2682938962561181,-0.4360214332623129,0.06280633417836193,0.29846773354536277,0.24708059940102015,-0.03797083529433549
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,-1.8276079250824584,1.0987806719633626,0.9206441484965732,-0.6069132693801511,-0.08286002129175736,0.11425497667402539,0.145055534808865,0.02971343547675464
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,0.4513477259170619,1.6071587636387308,1.5780119893925357,0.01714382565813082,-0.4067944274088328,0.09302293936917914,-0.04465467907540178,-0.03119349898622129
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,0.5801562023823851,1.628693939055558,-1.6861139804176426,0.6046409434259766,0.6290409447918582,-0.8199980441519829,0.05869989195795756,-0.011648900677214353
24,SAN LUIS POTOSI,13,CIUDAD VALLES,-0.2532813247108236,2.8391691773774435,1.2325242484020733,1.0338435885842536,0.17222485428498316,0.591078795999137,0.10786614596784777,0.0033624193431240437
24,SAN LUIS POTOSI,40,TAMUIN,0.5417802399496994,0.9860776603934499,0.935572469921975,0.09716637809144843,0.16114606528291422,-0.10296547094614997,0.06236200733165281,-0.021263409558519325
24,SAN LUIS POTOSI,53,VILLA JUAREZ,-1.1538098403243344,0.5192451814945978,0.06320461945307602,-0.5734387505920138,0.403956590912325,0.2877286868726221,0.23896927073042012,0.02522745058200418
24,SAN LUIS POTOSI,41,TANLAJAS,-1.49065088886849,0.8955509673540129,-0.3782962939997779,-0.23221183586292682,0.6654801792462057,0.5515411149569234,0.3593731837523462,0.013244339259920862
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,-0.3094420151394125,0.793019195934874,0.46938762460292704,0.19876634026590795,0.7322364521075176,0.01629325371050641,0.33479203876541624,-0.030748603437905413
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,-1.6356554681216038,0.8924973250302639,1.3959611715967792,-0.3850180173183828,0.073489894382869,-0.5555989839339119,0.01599728161658197,0.0010335151090408938
24,SAN LUIS POTOSI,36,TAMASOPO,0.9377548565896374,0.5807273209423212,0.47512830658791755,-0.13919218389213717,-0.0133635611988901,-0.38188004339411236,0.0673449668685113,-0.037572881861176875
24,SAN LUIS POTOSI,12,TANCANHUITZ,-0.6512438505534758,0.813163972358177,0.21733875196799518,-0.38993020397160494,0.14778694191805777,0.14032983007762892,0.24000251731644076,-0.008737220495952465
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,-0.6413382063281797,2.2500478080248025,1.1160611343924716,0.5465547867822828,0.3047355902495916,0.8559974725951944,0.09067147099427209,-0.0401742554650603
24,SAN LUIS POTOSI,22,MOCTEZUMA,-2.1309365196904313,1.0256734215488958,1.6209126936538385,-0.7538520288376195,0.05394179081837523,-0.05778611109272504,0.10724328961989926,0.01216519752203297
24,SAN LUIS POTOSI,55,XILITLA,-0.6890513060379504,1.8537373179154115,2.0729589371829706,1.2244581261536152,0.7108869572752536,0.9597006361355882,0.20476775023611488,-0.0113795850794962
24,SAN LUIS POTOSI,58,MATLAPA,0.1049033852041717,0.2964647139157197,0.7924087274666118,0.4714523503449372,1.4158598789695978,-0.16465099107802186,0.5390833713440979,-0.041457175366262686
24,SAN LUIS POTOSI,3,AQUISMON,-0.8514714768365882,1.587650474385676,1.192658468877367,-0.08247485683129172,0.06424031804685687,0.10347963002051652,0.2348977388169668,0.006641005012805634
25,SINALOA,7,CHOIX,2.11256192659607,2.3689218483394803,3.1393974869817765,1.215394643612501,-0.5275012370619636,1.493252982853208,-0.4676305472655981,0.05625715518246382
25,SINALOA,6,CULIACAN,-0.1676703844079227,8.321409192283115,6.100654553018386,5.121722795163512,0.3152026150260564,5.663367258586396,-0.3329191229632568,-0.07293665686614378
